Date,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
5/6/2015,73.27422333,46.50464249,77.48361969,19.00906944,70.00715637,53.51301575,48.65490723,40.75494385,40.91775513
5/7/2015,73.65322876,46.61937332,76.64512634,19.14238358,70.33802795,53.79198074,48.86670303,41.05496597,41.06805038
5/8/2015,74.44038391,47.01137161,77.90285492,19.41685486,71.47659302,54.42686462,49.646492,41.64533997,41.35924911
5/9/2015,74.44038391,47.01137161,77.90285492,19.41685486,71.47659302,54.42686462,49.646492,41.64533997,41.35924911
5/10/2015,74.44038391,47.01137161,77.90285492,19.41685486,71.47659302,54.42686462,49.646492,41.64533997,41.35924911
5/11/2015,74.10997009,46.82015228,76.43551636,19.34627533,71.51551819,54.37876511,49.41544342,41.43241882,41.07744598
5/12/2015,73.9739151,46.71498489,76.78805542,19.27569771,71.05814362,54.32104874,48.89558029,41.20981979,41.03047943
5/13/2015,73.50745392,46.69586182,76.58795929,19.28354073,71.13599396,54.43648529,48.83782196,41.38402557,40.62656403
5/14/2015,73.83786774,47.41293716,76.55937958,19.45606422,72.11886597,54.98479462,49.34805298,42.05182648,41.09623337
5/15/2015,74.43066406,47.56591034,76.8642807,19.36980057,72.26483154,54.9366951,49.58872986,41.91632843,41.63166046
5/16/2015,74.43066406,47.56591034,76.8642807,19.36980057,72.26483154,54.9366951,49.58872986,41.91632843,41.63166046
5/17/2015,74.43066406,47.56591034,76.8642807,19.36980057,72.26483154,54.9366951,49.58872986,41.91632843,41.63166046
5/18/2015,74.7124939,47.41293716,76.93097687,19.47959137,72.69300842,55.04250717,49.36730576,42.11957169,41.7913475
5/19/2015,74.69306183,47.28864288,75.83522797,19.58937836,73.03359985,54.88859558,49.12663269,42.01311111,41.88528061
5/20/2015,74.60559082,47.18347168,75.97815704,19.53448486,73.13092041,54.68658829,49.09775162,42.04214478,41.95103455
5/21/2015,74.8971405,47.28864288,76.69277191,19.48743248,73.14064789,54.98479462,49.27103806,42.22602844,41.93224716
5/22/2015,74.77079773,47.08786392,76.4164505,19.49527359,72.96548462,54.73468399,49.21327591,42.1969986,41.86649323
5/23/2015,74.77079773,47.08786392,76.4164505,19.49527359,72.96548462,54.73468399,49.21327591,42.1969986,41.86649323
5/24/2015,74.77079773,47.08786392,76.4164505,19.49527359,72.96548462,54.73468399,49.21327591,42.1969986,41.86649323
5/25/2015,74.77079773,47.08786392,76.4164505,19.49527359,72.96548462,54.73468399,49.21327591,42.1969986,41.86649323
5/26/2015,74.23630524,46.71498489,75.20636749,19.27569771,72.22590637,54.13827896,48.5971489,41.58726883,41.60348129
5/27/2015,74.79023743,47.01137161,75.07297516,19.48743248,73.06280518,54.48458099,48.91483688,42.37120438,41.77256012
5/28/2015,74.66390991,46.94444656,74.77759552,19.46390533,73.11145782,54.22485352,49.03998947,42.28409958,41.86649323
5/29/2015,74.14884186,46.64805603,74.69184113,19.29138184,72.92655945,53.68616486,48.72229767,41.97439957,41.8007431
5/30/2015,74.14884186,46.64805603,74.69184113,19.29138184,72.92655945,53.68616486,48.72229767,41.97439957,41.8007431
5/31/2015,74.14884186,46.64805603,74.69184113,19.29138184,72.92655945,53.68616486,48.72229767,41.97439957,41.8007431
6/1/2015,74.36264038,46.64805603,74.50127411,19.30706596,73.21849823,53.926651,48.74155045,42.09053421,41.85709763
6/2/2015,74.52784729,46.52376556,75.01580048,19.33843422,72.7416687,54.03246689,48.89558029,42.00343323,41.30288696
6/3/2015,75.11093903,46.49507904,74.50127411,19.50311661,72.8779068,54.3018074,48.94372177,42.09053421,40.69231796
6/4/2015,74.5764389,46.16044617,73.49128723,19.3305912,72.37187195,53.69578552,48.3660965,41.7034111,40.63595581
6/5/2015,74.36264038,45.50074005,74.0058136,19.4403801,72.34268188,53.73426437,48.14467621,41.56791687,40.12870789
6/6/2015,74.36264038,45.50074005,74.0058136,19.4403801,72.34268188,53.73426437,48.14467621,41.56791687,40.12870789
6/7/2015,74.36264038,45.50074005,74.0058136,19.4403801,72.34268188,53.73426437,48.14467621,41.56791687,40.12870789
6/8/2015,73.83786774,45.48161697,73.58656311,19.32275009,71.98262787,53.33986282,47.97138977,41.10335922,39.89387512
6/9/2015,73.76012421,45.70151901,73.57704163,19.36980057,71.96315765,53.33024597,48.00027466,41.00657654,39.79994202
6/10/2015,74.51813507,46.15088654,74.48222351,19.64427185,72.84870911,53.85931396,48.50087357,41.64533997,39.99720001
6/11/2015,74.77079773,46.13176346,74.14873505,19.72269249,73.34500122,54.16713715,48.61640167,41.66469574,40.31657791
6/12/2015,74.43066406,45.95010376,73.31977844,19.63643074,72.43998718,53.84969711,48.32759094,41.29692459,39.95962906
6/13/2015,74.43066406,45.95010376,73.31977844,19.63643074,72.43998718,53.84969711,48.32759094,41.29692459,39.95962906
6/14/2015,74.43066406,45.95010376,73.31977844,19.63643074,72.43998718,53.84969711,48.32759094,41.29692459,39.95962906
6/15/2015,74.08081818,45.61547089,73.14826965,19.55016899,72.52758026,53.39758301,48.02915192,41.0452919,39.89387512
6/16/2015,74.52784729,46.11264038,73.71996307,19.65995598,72.88764191,53.44567871,48.27945328,41.31628036,40.08174133
6/17/2015,74.86798859,46.36122513,73.53892517,19.63643074,72.95575714,53.58996964,48.4816246,41.33563614,40.41990662
6/18/2015,75.77176666,46.87752151,73.49128723,19.81679726,73.98727417,54.12866211,48.88595581,41.7034111,40.9553299
6/19/2015,75.5064621,46.81222153,72.81363678,19.48751068,73.93025208,53.86681747,48.55931091,41.35779953,40.56334686
6/20/2015,75.5064621,46.81222153,72.81363678,19.48751068,73.93025208,53.86681747,48.55931091,41.35779953,40.56334686
6/21/2015,75.5064621,46.81222153,72.81363678,19.48751068,73.93025208,53.86681747,48.55931091,41.35779953,40.56334686
6/22/2015,75.92566681,46.99500275,73.70570374,19.78683281,74.50637817,54.19551086,48.74306488,41.69807434,40.50646591
6/23/2015,76.22789001,46.79298019,73.94550323,19.82621765,74.65285492,54.06016541,48.60766602,41.7272377,39.95664597
6/24/2015,75.70144653,46.58133316,73.48508453,19.66080284,73.90096283,53.55746078,47.9887085,41.53279495,39.64382172
6/25/2015,75.64294434,46.49475098,72.73690033,19.54264832,74.31108093,53.14176178,47.95002365,41.43557739,39.37839127
6/26/2015,75.94517517,46.59095383,72.97670746,19.6056633,74.20366669,53.23843765,47.76626968,41.08557892,39.61538315
